Date,Open,High,Low,Close,Adj Close,Volume
21/04/08,32.549999,34.939999,32.549999,34.610001,22.822992,7276990
22/04/08,34.740002,35.779999,34.099998,34.740002,22.908718,8965460
23/04/08,35,35.259998,34.099998,34.32,22.631754,3965050
24/04/08,34.599998,34.799999,33,33.16,21.866812,4451870
25/04/08,33.360001,34.25,33.200001,34,22.420734,4782690
28/04/08,34.209999,34.34,33.400002,33.599998,22.156961,1891630
29/04/08,33,34.790001,33,34.25,22.585594,4973655
30/04/08,34.25,34.599998,33.68,34.09,22.480083,2209705
02/05/08,34.599998,35.48,34.299999,34.939999,23.040602,5417180
05/05/08,35.169998,36.82,34.799999,35.779999,23.594528,9775150
06/05/08,36,36.139999,34.139999,34.950001,23.047197,4220440
07/05/08,34.950001,35.560001,34.200001,35.049999,23.113142,2509830
08/05/08,34.82,35,33.68,33.950001,22.387764,2336810
09/05/08,33.66,34.380001,32.41,32.639999,21.523903,3264865
12/05/08,32.029999,32.799999,31.309999,32.279999,21.28651,4413000
13/05/08,32.599998,33.040001,31.68,32.009998,21.108463,4851610
14/05/08,31.76,33,31.6,32.799999,21.629416,3235720
15/05/08,32.900002,34.599998,32.790001,34.419998,22.697699,4816035
16/05/08,34.400002,34.799999,33.849998,34.290001,22.611975,3118345
20/05/08,33.990002,34.400002,32.900002,33.389999,22.018482,3608440
21/05/08,33.200001,34.400002,32.900002,33.869999,22.335009,2576800
22/05/08,33.240002,33.599998,32.25,32.41,21.372238,3243585
23/05/08,32.59,33,31.799999,32.02,21.115059,3893005
26/05/08,31.799999,32.279999,31.02,31.440001,20.732588,3085685
27/05/08,31.940001,33.599998,30.620001,30.9,20.376492,1926735
28/05/08,30.200001,32.25,30.200001,31.889999,21.029329,3321955
29/05/08,32.259998,32.5,30.48,30.9,20.376492,4819110
30/05/08,30.6,31.58,30,31.120001,20.521568,3627510
02/06/08,31.879999,32.200001,29.4,29.629999,19.539009,4465560
03/06/08,29.280001,29.280001,28.07,28.51,18.800449,8026995
04/06/08,28.4,30.299999,28.200001,28.85,19.024652,9513615
05/06/08,28.85,31.280001,26.65,30.17,19.895105,7493485
06/06/08,30.799999,31.6,29.700001,31.120001,20.521568,7357220
09/06/08,29,29.98,28.25,28.940001,19.084005,4323465
10/06/08,28.799999,29.559999,27.790001,28.16,18.569647,4530060
11/06/08,28.4,28.85,26.870001,27.32,18.01572,11748660
12/06/08,27,28.200001,26,28.01,18.470734,7458140
13/06/08,27.950001,28.799999,27.6,27.98,18.450947,3966865
16/06/08,28.6,29.5,28.200001,28.620001,18.872986,5839945
17/06/08,28.940001,29.9,28.4,29.74,19.611549,7734270
18/06/08,30,30.1,28.73,28.940001,19.084005,4042580
19/06/08,28.76,28.76,27.24,27.48,18.121229,4442395
20/06/08,27.559999,27.860001,26.4,26.809999,17.679411,4039455
23/06/08,26.02,26.799999,24.860001,25.790001,17.00679,7051570
24/06/08,25.67,27.799999,25.67,27.18,17.923403,7911745
25/06/08,26.780001,26.780001,25.219999,26.280001,17.32991,6392925
26/06/08,26.6,27,25.780001,26.280001,17.32991,3690115
27/06/08,25.200001,25.700001,24.629999,24.799999,16.353947,3701290
30/06/08,27.690001,27.690001,22.6,22.940001,15.127402,9620210
01/07/08,24,24,21.799999,22.209999,14.646016,9866660
02/07/08,22.200001,23,21,22.280001,14.692177,14847510
03/07/08,22.620001,22.799999,20.41,20.73,13.670053,11101490
04/07/08,21,22.280001,20.4,21.93,14.461374,6006895
07/07/08,22.200001,23.139999,22.01,22.18,14.626233,4514950
08/07/08,21.780001,23.5,21.200001,23.110001,15.239506,5948585
09/07/08,23.5,24.700001,23.4,23.82,15.707703,6046235
10/07/08,23.610001,24.48,23,23.969999,15.806619,3887780
